a52dec 0.7.4-11
python-parso 1:0.7.1-3
python-pep517 0.9.1-3
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-5
python-pillow 8.1.0-1
python-pip 20.2.4-1
python-ply 3.11-7
python-progress 1.5-5
python-prometheus_client 0.9.0-1
python-prompt_toolkit 3.0.8-3
python-psutil 5.7.3-3
python-ptyprocess 0.6.0-6
python-pychm 0.8.6-4
python-pycparser 2.20-3
python-pycups 2.0.1-3
python-pycurl 7.43.0.6-4
python-pygame 2.0.0-3
python-pygments 2.7.3-1
python-pynvim 0.4.2-2
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.2-2
python-pyqt5-sip 12.8.1-3
python-pyqtwebengine 5.15.2-2
python-pyrsistent 0.17.3-3
python-pyzmq 20.0.0-1
python-regex 2020.11.13-2
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-send2trash 1.5.0-6
python-setproctitle 1.2.1-1
python-setuptools 1:51.1.1-1
python-sgmllib 5.2.1-9
python-six 1.15.0-3
python-soupsieve 2.1.0-1
python-terminado 0.9.1-3
python-testpath 0.4.4-3
python-toml 0.10.2-3
python-tornado 6.1.0-3
python-traitlets 5.0.5-1
python-unrardll 0.1.4-5
python-urllib3 1.26.1-1
python-urwid 2.1.1-3
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-xlib 0.29-1
python-yaml 5.3.1-4
python-zeroconf 0.28.6-3
python-zipp 3.4.0-3
qhull 2020.2-4
qt5-base 5.15.2-2
qt5-declarative 5.15.2-1
qt5-location 5.15.2-2
qt5-svg 5.15.2-1
qt5-tools 5.15.2-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.2-3
qt5-x11extras 5.15.2-1
r8168 8.048.03-52
ranger 1.9.3-3
raptor 2.0.15-15
rav1e 0.3.4-1
re2 1:20201101-1
readline 8.1.0-2
recode 3.7.8-1
redshift 1.12-4
reflector 2020.12.20.1-1
reflector-simple 1.12.3-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rhash 1.4.0-1
ripgrep 12.1.1-1
rofi 1.6.1-1
rp-pppoe 3.14-1
rsync 3.2.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9-1
ruby 2.7.2-1
ruby-docs 2.7.2-1
ruby-irb 1.2.7-1
ruby-rake 13.0.1-2
ruby-rdoc 6.2.0-2
ruby-reline 0.1.6-1
rubygems 3.1.4-1
run-parts 4.8.6.1-2
s-nail 14.9.20-1
s-tui 1.0.2-2
sbc 1.5-1
scrot 1.4-1
sdl 1.2.15-14
sdl2 2.0.14-1
sdl2_image 2.0.5-2
sdl2_mixer 2.0.4-5
sdl2_ttf 2.0.15-2
seahorse 1:3.38.0.1-1
sed 4.8-1
semver 7.3.4-1
serd 0.30.6-1
shaderc 2020.3-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
smartmontools 7.2-1
smbclient 4.13.3-2
snappy 1.1.8-2
solid 5.77.0-1
sord 0.16.6-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.4-1
sqlite 3.34.0-1
sratom 0.6.6-1
srt 1.4.2-1
